ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5660.0346       433.5336         0.0000         0.0000       919.4914          -4307.0095       292.1143     -5226.5009     -4304.3627       295.3104            173.4862       182.2768     22525.1471      -188.2896      -188.2914
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5701.1687       452.4612         0.0000         0.0000       952.5386          -4296.1689       302.6131     -5248.7075     -4294.7076       298.1359            247.7597       270.9953     22734.9473      -275.7315      -275.9335
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5516.4239       348.0503         0.0000         0.0000       979.4417          -4188.9320       311.1600     -5168.3737     -4185.6251       297.1367           -612.5897      -589.4958     22626.3663      -167.3021      -167.2865
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5626.4108       402.6506         0.0000         0.0000       963.8999          -4259.8603       306.2225     -5223.7602     -4258.5595       298.2174            254.2581       259.3604     22418.3210      -184.5798      -184.4622
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5637.8789       416.5318         0.0000         0.0000       930.3976          -4290.9494       295.5792     -5221.3470     -4287.8384       299.7513           -139.7439      -127.4856     23019.4372      -203.1005      -203.0803
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5623.3191       394.7465         0.0000         0.0000       895.2616          -4333.3110       284.4167     -5228.5726     -4330.1928       297.3776            -34.1697       -24.7486     22420.7931      -205.6134      -205.5383
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5560.5861       363.8788         0.0000         0.0000       924.6218          -4272.0855       293.7442     -5196.7074     -4270.5339       293.7443           -648.4999      -633.4492     22821.0811      -210.9330      -211.0292
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5564.1741       394.7737         0.0000         0.0000       958.2904          -4211.1100       304.4405     -5169.4005     -4208.4779       301.9995            123.4388       130.5361     22918.6017      -303.3820      -303.4359
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5582.9659       334.9295         0.0000         0.0000       887.9743          -4360.0622       282.1016     -5248.0364     -4358.6467       297.7073          -1066.7156     -1050.3876     22720.4931      -227.3963      -227.3597
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5606.0707       378.0619         0.0000         0.0000       917.5751          -4310.4337       291.5056     -5228.0088     -4307.6383       292.9857           -498.8664      -490.3662     22408.2193      -182.7813      -182.8464
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5527.6580       341.1133         0.0000         0.0000       956.1733          -4230.3713       303.7679     -5186.5446     -4228.4044       295.9385           -791.7377      -777.8062     22691.3932      -182.9221      -183.0013
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5615.7279       415.0635         0.0000         0.0000       927.3018          -4273.3626       294.5956     -5200.6644     -4271.5354       299.4282           -236.0967      -219.2715     22902.6279      -221.3902      -221.3517
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5640.3481       429.2045         0.0000         0.0000       912.2031          -4298.9404       289.7989     -5211.1435     -4296.9983       294.2082           -164.0236      -137.9124     22904.3472      -260.3642      -260.5079
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5637.5929       404.4527         0.0000         0.0000       911.5420          -4321.5983       289.5889     -5233.1402     -4320.1051       294.8188            -62.1324       -41.4921     22576.9364      -212.1262      -212.2748
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5533.3738       390.0407         0.0000         0.0000       911.0336          -4232.2995       289.4274     -5143.3331     -4229.1243       300.1988           -639.0644      -626.9881     23313.8758      -211.0752      -211.0728
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5527.5083       355.7679         0.0000         0.0000       917.6343          -4254.1061       291.5244     -5171.7404     -4251.2627       296.9848           -392.2404      -378.3323     22486.6796      -181.0961      -181.0326
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5592.9018       413.9567         0.0000         0.0000       989.7815          -4189.1636       314.4449     -5178.9451     -4187.1572       307.9640            369.2313       383.7544     22439.4515       -56.8024       -56.7765
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5619.0422       403.4479         0.0000         0.0000       960.9754          -4254.6189       305.2935     -5215.5943     -4253.1378       303.1108           -124.8340      -106.2357     22759.0968      -223.4778      -223.5208
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5654.7706       389.1989         0.0000         0.0000       913.3815          -4352.1902       290.1733     -5265.5717     -4350.2033       292.9161           -456.5661      -432.9374     22499.7032      -261.8506      -261.6780
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5497.8291       363.8946         0.0000         0.0000       896.7201          -4237.2144       284.8801     -5133.9345     -4234.5772       295.7853           -438.7970      -420.5331     22857.4074      -220.6545      -220.6552
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5601.8902       412.0814         0.0000         0.0000       957.6733          -4232.1355       304.2444     -5189.8088     -4231.2496       306.2044            223.5039       241.3031     22627.3696      -161.8070      -161.8194
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5591.7965       415.0314         0.0000         0.0000       913.7704          -4262.9947       290.2968     -5176.7651     -4260.7346       300.0042            -25.0447        -1.7443     22852.2434      -213.4505      -213.4351
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5612.6554       384.7309         0.0000         0.0000       966.5995          -4261.3250       307.0802     -5227.9245     -4259.2965       301.0938           -289.3286      -274.4592     22444.1922      -195.2113      -195.3017
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5566.6490       349.3864         0.0000         0.0000       929.2501          -4288.0124       295.2146     -5217.2626     -4287.4152       296.6031           -837.5793      -816.3236     22659.1237      -162.3471      -162.1832
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5568.6463       381.2228         0.0000         0.0000       942.4818          -4244.9417       299.4182     -5187.4236     -4242.7623       296.9427           -659.6620      -633.6779     23284.0906      -233.2188      -233.0438
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5637.5211       397.1236         0.0000         0.0000       957.6859          -4282.7116       304.2484     -5240.3975     -4280.8663       297.1471           -328.5686      -307.1819     22682.1151      -219.3046      -219.2610
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5576.5220       406.9702         0.0000         0.0000       929.2619          -4240.2899       295.2183     -5169.5518     -4237.5633       300.7982             84.5508       112.2422     22860.1769      -219.7482      -219.7568
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5599.5067       433.6708         0.0000         0.0000       963.7516          -4202.0843       306.1754     -5165.8359     -4199.7548       306.1370            394.8993       407.1801     22863.9089      -303.5540      -303.5833
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5578.7252       386.6837         0.0000         0.0000       922.4390          -4269.6025       293.0508     -5192.0415     -4267.6234       298.8622           -137.0903      -125.6159     22889.3496      -251.9324      -251.8036
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5647.4521       417.0627         0.0000         0.0000       945.4425          -4284.9470       300.3588     -5230.3895     -4283.1758       298.0018            323.4007       339.0842     22279.3215      -162.7111      -162.9048
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5591.0890       378.9575         0.0000         0.0000       965.9492          -4246.1824       306.8736     -5212.1315     -4243.8432       301.8788           -438.8711      -411.7157     22655.1812      -255.8671      -256.1348
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5534.7020       366.4333         0.0000         0.0000       964.0804          -4204.1883       306.2799     -5168.2687     -4201.0175       300.6129           -652.6704      -635.3187     23079.4388      -176.5164      -176.4734
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5546.9074       385.6668         0.0000         0.0000       928.7527          -4232.4879       295.0566     -5161.2406     -4230.1935       300.9375             -8.3104        -4.0531     22681.5481      -218.9028      -218.6817
